,categoria,product_id,envios,ventas,aceptación,contribución,title
184,complementos,ec81514c-d0f6-458a-bd4a-20ed31c195fb,46774,17197,0.36766152135801944,0.15263706559080184,Cloclassic Scarf raising
141,complementos,b4218e6b-abb6-4c90-b37c-af4e6964010d,43125,15570,0.3610434782608696,0.13819614533051025,Clogross Scarf raising 
183,complementos,eb3e2fd2-2d5d-43d3-aaca-535c18b58177,35340,12491,0.35345217883418223,0.11086756912802848,Filarmonique Scarf wool
203,complementos,f85f1da2-ab0c-4496-bc86-fe57f692d5d5,27137,10292,0.3792607878542212,0.09134969349657106,Clotopos Scarf boiled 
201,complementos,f73190e8-eef3-471c-90b7-f80c0b6350ca,26939,9214,0.3420319982181967,0.08178158529706624,Nudiris Scarf acrylic 
88,complementos,74d1da00-e390-4dff-a940-e3d2c86c3ea7,18473,7697,0.41666215557841174,0.06831700260815268,Cloanimal Scarf boiled 
37,complementos,316d0a7b-a021-42a5-ad13-013625a8b8a8,15636,7564,0.48375543617293426,0.0671365217263956,Rose Scarf sew 
171,complementos,e2133afa-80a6-4e21-b616-d25399ae896f,11678,7324,0.627162185305703,0.06500633066157077,Pcinka Scarf long
127,complementos,a1a41905-982b-4433-97d5-adcb9c7504ec,28369,7080,0.24956819063061791,0.06284063641233222,Filpaule Bag cow
20,complementos,19840bb2-edee-41e1-a5fb-8296c32147e6,16868,7060,0.4185439886175006,0.06266312049026347,Tundra Scarf sew 
1474,tren_superior,1551622e-aaf6-4d6f-b80c-3048f08221b6,685013,310994,0.45399722341035864,2.7603193333922094,Kate Jacket knit 
1730,tren_superior,3fbd87f9-e8a7-4533-bf0b-f35906cc47ee,381222,158719,0.41634270844809584,1.408757481741378,Laura Jacket paris 
2401,tren_superior,ab964cd7-7d6e-4da8-8baa-8ca446ebbcaa,205954,101498,0.49281878477718327,0.9008755529066235,Mina Top klein 
1759,tren_superior,44615d8b-0696-4614-b751-084b15b653af,162706,90566,0.5566236033090359,0.8038453499038529,Viril Cardigan knit 
2389,tren_superior,a99551fc-9d2a-4d39-a61a-1be1b3e62fdd,121345,62842,0.517878775392476,0.5577727787321725,Akoz Top solid 
1821,tren_superior,4dfbf9ad-f672-4c76-adae-e3358cb515e9,131953,60501,0.458504164361553,0.536994540054027,Vilucy Shirt noos 
2398,tren_superior,ab13f05e-b0a2-49a9-99de-a211187093fc,105007,45565,0.43392345272219945,0.4044256494530956,Senes Sweater rainbow 
2058,tren_superior,735761e6-8f79-43c9-8279-a7af97fe00eb,81944,43389,0.5294957531973055,0.38511191713201726,Vilucy Tshirt fav 
1347,tren_superior,016c8e92-c49a-4619-95ef-2b4c8aaf338a,71740,34974,0.4875104544187343,0.310422092921597,Viril Cardigan noos
1398,tren_superior,0a56a571-1c34-4e06-b178-9cb1badbd035,67119,34000,0.5065629702468749,0.3017770675168496,Aster Top blue 
422,tren_inferior,2f23f30a-31ce-4ffd-aa29-1fe80a1dd2d7,347285,165154,0.4755575391969132,1.4658732296669934,Dou Jeans onesize 
410,tren_inferior,2c9c7c84-e8c3-4425-98e3-1648b51d46bc,330306,152662,0.4621835510102753,1.3549967847428614,Tiwa Pant one 
1304,tren_inferior,f8f2a0f9-3a06-47e6-964a-3f338ded080a,215052,104238,0.4847106746275319,0.9251952342300402,Tula Jeans plus 
908,tren_inferior,a2638e63-e0c7-49b4-bc2d-b8bef962b4b2,242540,101533,0.41862373216788984,0.9011862057702438,Tiswa Pant one3 
1257,tren_inferior,ef797409-75c2-4f54-951a-f0af522ac8c3,220048,97658,0.4438031702174071,0.8667924958694264,Rebecca Jeans denim 
790,tren_inferior,8895bdca-1b33-42a8-933f-4ea0378b29d4,152740,65823,0.43094801623674217,0.5842315269165174,Itta Pant denim 
439,tren_inferior,30d6b5b8-fa1c-449c-adc3-c166d8acf729,83040,48886,0.5887042389210019,0.4339021683126091,Carstorm Jeans noos 
349,tren_inferior,1fcbea61-3489-400b-b045-4789c81311c9,87220,48363,0.5544943820224719,0.4292601269505117,Sarah Pant short 
262,tren_inferior,0c19b549-6627-4621-9dfa-dee828142bac,117324,42056,0.35846033207186934,0.3732804809261361,Summ Skirt onado 
792,tren_inferior,88fb3d34-9713-43bc-9dcc-3bc765a748f2,106177,41723,0.3929570434274843,0.3703248408236916,Lima Skirt tie 
